Game Time,Home Team,Away Team,Home Wager %,Away Wager %,Home Opener Odds,Away Opener Odds
2022-04-05 19:05:00,Cincinnati,Seattle,N/A,N/A,-125,105
2022-04-05 19:05:00,Texas,Chi. Cubs,N/A,N/A,-125,105
2022-04-05 19:10:00,San Diego,Chi. White Sox,N/A,N/A,-120,100
2022-04-05 19:10:00,Milwaukee,Kansas City,N/A,N/A,-150,125
2022-04-05 19:40:00,Arizona,Cleveland,N/A,N/A,0,0
2022-04-05 20:05:00,San Francisco,Oakland,N/A,N/A,-175,145
2022-04-05 20:10:00,Colorado,Cleveland,N/A,N/A,0,0
2022-04-06 01:10:00,LA Dodgers,LA Angels,N/A,N/A,-175,145
2022-04-06 16:35:00,Tampa Bay,Philadelphia,N/A,N/A,-165,135
2022-04-07 18:20:00,Chi. Cubs,Milwaukee,29.29%,70.71%,125,-150
2022-04-07 20:10:00,Kansas City,Cleveland,50.22%,49.78%,-105,-115
2022-04-07 20:15:00,St. Louis,Pittsburgh,79.98%,20.02%,-200,165
2022-04-07 23:05:00,Washington,NY Mets,55.42%,44.58%,105,-130
2022-04-08 00:08:00,Atlanta,Cincinnati,72.77%,27.23%,-200,165
2022-04-08 01:38:00,LA Angels,Houston,57.55%,42.45%,-120,100
2022-04-08 01:40:00,Arizona,San Diego,35.55%,64.45%,130,-155
2022-04-08 17:05:00,NY Yankees,Boston,61.48%,38.52%,-150,125
2022-04-08 17:10:00,Detroit,Chi. White Sox,35.87%,64.13%,110,-135
2022-04-08 19:05:00,Philadelphia,Oakland,72.30%,27.70%,-175,145
2022-04-08 19:10:00,Tampa Bay,Baltimore,74.80%,25.20%,-190,155
2022-04-08 20:10:00,Colorado,LA Dodgers,27.44%,72.56%,165,-200
2022-04-08 20:10:00,Minnesota,Seattle,45.72%,54.28%,-115,-105
2022-04-08 20:35:00,San Francisco,Miami,69.97%,30.03%,-135,110
2022-04-08 23:05:00,Washington,NY Mets,25.28%,74.72%,150,-185
2022-04-08 23:07:00,Toronto,Texas,77.94%,22.06%,-165,135
2022-04-08 23:20:00,Atlanta,Cincinnati,72.62%,27.38%,-185,150
2022-04-09 01:38:00,LA Angels,Houston,38.59%,61.41%,-110,-110
2022-04-09 01:40:00,Arizona,San Diego,31.46%,68.54%,120,-145
2022-04-09 17:10:00,Tampa Bay,Baltimore,75.53%,24.47%,-250,190
2022-04-09 17:10:00,Detroit,Chi. White Sox,35.26%,64.74%,125,-150
2022-04-09 18:10:00,Minnesota,Seattle,59.66%,40.34%,-150,125
2022-04-09 18:15:00,St. Louis,Pittsburgh,79.20%,20.80%,-185,150
2022-04-09 18:20:00,Chi. Cubs,Milwaukee,35.38%,64.62%,125,-150
2022-04-09 19:07:00,Toronto,Texas,75.58%,24.42%,-200,165
2022-04-09 20:05:00,San Francisco,Miami,69.15%,30.85%,-150,125
2022-04-09 20:05:00,Philadelphia,Oakland,66.32%,33.68%,-200,170
2022-04-09 20:05:00,NY Yankees,Boston,51.06%,48.94%,-165,140
